open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2026-03-18 21:00:00,71214.67,71451.22,71167.15,71263.67,338.26453,2026-03-18 21:59:59.999,24124075.7017988,112777,198.72672,14172630.0640832,0
2026-03-18 22:00:00,71263.67,71269.02,70944.56,71153.66,520.94837,2026-03-18 22:59:59.999,37019284.4275539,104410,232.85691,16547495.9473414,0
2026-03-18 23:00:00,71153.67,71365.4,71069.69,71246.54,691.26691,2026-03-18 23:59:59.999,49243263.5136803,145241,360.85803,25709648.3988376,0
2026-03-19 00:00:00,71246.55,71321.81,70976.69,71002.17,887.95607,2026-03-19 00:59:59.999,63132633.6989165,142997,418.18834,29732698.5833882,0
2026-03-19 01:00:00,71002.18,71182.44,70951.93,71115.23,391.40796,2026-03-19 01:59:59.999,27811412.5209495,111388,158.79462,11283467.6348878,0
2026-03-19 02:00:00,71115.24,71252.83,70902.37,71055.44,554.97617,2026-03-19 02:59:59.999,39481245.7808288,102738,194.7154,13850884.7430918,0
2026-03-19 03:00:00,71055.44,71613.79,71053.33,71215.39,593.60943,2026-03-19 03:59:59.999,42349252.2232287,136187,283.05616,20196707.2835908,0
2026-03-19 04:00:00,71215.39,71215.39,70654.86,70822.07,702.86032,2026-03-19 04:59:59.999,49785063.0975735,155872,314.52316,22276550.6840513,0
2026-03-19 05:00:00,70822.06,70909.88,70661.56,70826.54,416.16191,2026-03-19 05:59:59.999,29463160.9589521,106887,226.70574,16052531.3408116,0
2026-03-19 06:00:00,70826.55,70979.99,70505.0,70583.22,619.8514,2026-03-19 06:59:59.999,43825028.6582231,136364,247.00622,17465821.7505493,0
2026-03-19 07:00:00,70583.22,70600.04,69478.51,70191.17,2753.9557,2026-03-19 07:59:59.999,192871533.9309172,360127,1132.30875,79286894.4500579,0
2026-03-19 08:00:00,70191.16,70300.0,69900.0,69985.19,1015.64209,2026-03-19 08:59:59.999,71193379.2209247,202958,381.64144,26754249.926394,0
2026-03-19 09:00:00,69985.19,70560.91,69971.99,70513.0,1262.65596,2026-03-19 09:59:59.999,88780872.216809,223886,679.0493,47751143.2168706,0
2026-03-19 10:00:00,70513.0,70538.74,70117.0,70133.72,613.17552,2026-03-19 10:59:59.999,43160949.0815586,124422,268.86791,18926095.2312973,0
2026-03-19 11:00:00,70133.73,70259.37,69909.09,69952.75,542.70053,2026-03-19 11:59:59.999,38023878.221242,123680,195.64389,13710962.3086973,0
2026-03-19 12:00:00,69952.75,69952.76,69105.49,69290.27,1452.42038,2026-03-19 12:59:59.999,101065558.9525731,274900,582.80236,40550959.2885875,0
2026-03-19 13:00:00,69290.28,70084.35,69081.51,69905.65,1720.19325,2026-03-19 13:59:59.999,119458350.6730793,473306,890.86947,61894862.1215712,0
2026-03-19 14:00:00,69905.65,70179.53,69096.16,69482.25,1636.49639,2026-03-19 14:59:59.999,113585518.8772272,399716,715.77467,49706895.8911053,0
2026-03-19 15:00:00,69482.24,69917.87,68793.35,69412.51,1898.28931,2026-03-19 15:59:59.999,131477295.1536006,389361,953.88696,66097686.0576532,0
2026-03-19 16:00:00,69412.52,69642.35,69177.19,69455.86,858.32753,2026-03-19 16:59:59.999,59567168.9730007,279945,492.02558,34145080.4410059,0
2026-03-19 17:00:00,69455.86,69954.18,69122.03,69854.16,759.67868,2026-03-19 17:59:59.999,52817725.5973047,236298,479.07306,33319285.2970692,0
2026-03-19 18:00:00,69854.15,69931.1,69581.55,69821.21,442.61763,2026-03-19 18:59:59.999,30873259.5011859,167373,235.69976,16441236.5462337,0
2026-03-19 19:00:00,69821.21,70596.42,69805.33,70271.99,1190.55299,2026-03-19 19:59:59.999,83703288.5506289,350207,691.8917,48642043.0250229,0
2026-03-19 20:00:00,70272.0,70676.0,70201.0,70483.03,488.71031,2026-03-19 20:59:59.999,34420949.7359931,107844,319.73708,22522900.9815392,0
2026-03-19 21:00:00,70483.03,70695.6,70371.19,70413.47,418.78383,2026-03-19 21:59:59.999,29539657.8584004,111392,183.96126,12975608.4454932,0
2026-03-19 22:00:00,70413.46,70501.89,69954.05,70183.99,551.7482,2026-03-19 22:59:59.999,38750806.9463924,123086,203.93185,14325277.0161635,0
2026-03-19 23:00:00,70184.0,70282.47,69718.23,69930.0,592.04663,2026-03-19 23:59:59.999,41435959.4309024,131592,238.98208,16724781.0222556,0
2026-03-20 00:00:00,69930.01,70311.12,69837.1,70181.0,871.72419,2026-03-20 00:59:59.999,61099657.9975766,140310,554.94529,38898667.0332695,0
